Which character was first played by Arnold Schwarzenegger in a 1984 film?|The Demonstrator|The Instigator|The Investigator|The Terminator|The Terminator|0
Which of these kills its victims by constriction?|Andalucia|Anaconda|Andypandy|Annerobinson|Anaconda|0
In the UK, VAT stands for value-added ...?|Transaction|Total|Tax|Trauma|Tax|0
What might an electrician lay?|Tables|Gables|Cables|Stables|Cables|0
How is a play on words commonly described?|Pan|Pin|Pen|Pun|Pun|0
Which colour is used as a term to describe an illegal market in rare goods?|Blue|Red|Black|White|Black|0
Which of these would a film actor like to receive?|Oliver|Oscar|Oliphant|Osbert|Oscar|0
In which country would you expect to be greeted with the word BONJOUR?|Italy|Wales|France|Spain|France|0
Which country is not an island?|Madagascar|Cuba|Germany|Jamaica|Germany|0
What name is given to a playing card with a single symbol on it?|Whizz|Hotshot|Ace|Star|Ace|0
Which of these is a tool for shaping and smoothing wood?|Train|Plane|Car|Bike|Plane|0
What do the Americans call what we call sweets?|Randy|Dandy|Sandy|Candy|Candy|0
What would you expect to see at the London Aquarium?|Flowers|Trees|Steam rollers|Fish|Fish|0
According to the old adage, how many lives does a cat have?|Five|Seven|Nine|Ten|Nine|0
Which of these would be of most use if you wanted to play poker?|Bat & ball|Pack of cards|Swimming trunks|Horse|Pack of cards|0
How many moons orbit the Earth?|One|Two|Three|Four|One|0
By what abbreviation is a compact disc commonly known?|CD|COD|CDIS|COMPD|CD|0
Which country shares a land border with the UK?|Portugal|Libya|Vietnam|Ireland|Ireland|0
A particular hazard for motorists is black ...?|Pudding|Ice|Holes|Mascara|Ice|0
Which is not a type of antelope?|Gorilla|Gerenuk|Gemsbok|Gnu|Gorilla|0
In the nursery rhyme, who met a pieman?|Easy Eric|Plain Peter|Simple Simon|No Frills Fred|Simple Simon|0
Germania was the Roman name for which modern-day European country?|France|Austria|Germany|Spain|Germany|0
Which word follows NORTH and SOUTH to give the names of two continents?|Africa|America|Asia|Australia|America|0
The Nativity is the story of whose birth?|Jesus Christ|Elvis Presley|Winston Churchill|John F Kennedy|Jesus Christ|0
Which is a US-made soap opera?|Johnsons Mere|Thompsons Pond|Dawsons Creek|Madisons Lake|Dawsons Creek|0
Which of the following do bowlers aim to hit during a game of cricket?|Posts|Hoop|Net|Stumps|Stumps|0
How many hours are there in a day?|12|18|24|30|24|0
Which of these countries lies in the Southern Hemisphere?|Canada|Norway|Australia|Japan|Australia|0
What kind of geographical feature is Everest?|River|Sea|Desert|Mountain|Mountain|0
